total results: 74
然部放大l	0.013873368530835926	981	323	86	20
钿部放大』 C	0.04923111432332623	941	485	98	20
TTMRC	0.9490114156109201	2198	490	76	24
剖面圃 D 0	0.10129850201373067	1249	677	82	20
剖面圆 A-A	0.13602010210046075	739	713	78	20
15	0.9992820617958801	781	765	24	20
Js	0.3004736652756288	1308	1268	24	24
33.5	0.9982961416244507	469	1289	32	16
33.5	0.5522226775799586	589	1289	32	16
33.5	0.7185513810314015	1663	1307	32	16
43.5	0.5831520824933706	457	1361	32	14
47.8	0.6707421238057166	597	1361	32	14
-0.15	0.5664692007932012	1325	1449	42	16
廷d'宏  合 精  研 ,股 份有  限公司	0.007474423804130818	1447	1416	871	74
+0.05	0.9980340511530557	1169	1471	40	16
+0.10	0.1265618040150742	1167	1493	44	16
+0.25	0.8968379444667478	1327	1495	40	14
Honho Precision Industry Corporation	0.8477702739288401	1707	1475	570	44
>30	0.8857325265812598	1113	1515	28	16
10.15	0.4149135854638208	1167	1515	44	16
0.05	0.998436450958252	1329	1517	38	16
>120	0.8412412405014038	1113	1539	36	16
+0.20	0.8213012193591946	1169	1539	42	16
筲度 ^+0.5	0.07422057358392133	1285	1539	84	18
121O0-SML-TTMRC3-I	0.43497155304346585	1941	1537	186	20
LOBO:TTMRC	0.8406969966701917	2143	1533	111	27
Inner Diameter	0.5826994929042525	197	1555	88	12
Outer Diameter	0.7636561495680814	355	1553	90	14
Skirt Lenght	0.6525546388255001	511	1553	74	16
Main Body Lenght	0.7503989997141218	655	1555	108	14
>400	0.9746398329734802	1113	1561	36	16
+0.30	0.972791624283465	1169	1561	40	18
67870823弧X79	0.0697996639991969	2096	1573	143	21
>1000	0.9785859571098858	1113	1585	44	16
+0.50	0.6513824494161852	1169	1585	42	16
67	0.9946279840561273	213	1591	22	20
70	0.9996238179576409	365	1591	26	20
23弧	0.9995261513699099	508	1588	46	24
79.5	0.9994322061538696	671	1591	38	20
圃页:1/1	0.06072501210175316	1963	1589	90	36
RSG	0.5516790689498995	743.0244740693419	272.07296418074014	41	39
Logo	0.3428415060043335	2130.1384522477824	487.1747742652155	59	33
)IOHTT	0.28755422197302344	727.4275212228624	767.7801797798122	64	48
2 THRU	0.6060527968248188	754.6546544120074	775.444739946117	61	50
MG 	0.7285514241065439	1271.0044296842868	1248.1430466182294	33	28
THRU	0.9988800287246704	277.03883864861814	1252.4302344689331	51	41
06.87	0.17001126636796587	242.05825797292724	1270.542304238443	54	44
165	0.9982843771965976	1181.1273416448619	1292.251685447757	35	21
